,stars,body,date
216,4.0,Body of the guitar feels small but it's best fit if you are somewhere 4.5ft or 5.3ft. Quality is good as per the price consider. One should buy with having a second thought for quality issues,15 March 2021
217,3.0,"Awesome Guitar in cheapest price best for beginners.. Yes the fret tension is high.. But i will tell u the hacks, just remove the bridge saddle (White Parts) [if u don’t know what is saddle]Cheers and thank me later..",4 June 2022
218,1.0,"Finally i got my product, but product was little damaged. A crack on the backside wooden panel. So i request to replace my order. By the way product is good in this price range.",20 December 2021
219,2.0,"It's sound is better but at some freight  sound comes very bad, built quality issue!!",3 November 2019
220,5.0,"nice guitar at this price.....for me it's small size was helpful,since for the beginners it would be difficult to handle a full size guitar....but bag quality is too bad",29 January 2018
221,3.0,"Strings are not properly attached. I had to fix that myself. The E, A, D strings were not mellifluous.",25 June 2019
222,5.0,Firstly the packing of my guitar was too good it came in a bubble rapped and a corogated box .  Its awsome .. good product for the beginners can be easily tuned and strings can easily be changed. No rocket science. I love it m very happy. I also use it for my photoshoots.  Pre wedding. With my clients,14 May 2021
223,4.0,Awesome guitar in this price range but the fretboard and size of guitar is  little smaller than general size of  guitar.,17 October 2017
224,1.0,"It is worthless guitar, the strings are too tight, we can't even tune it, its worthless unless it is tuned to play. Didn't expected this bad. Worst guitar. Trust me and don't buy this rather buy a second one from a store locally.",30 May 2021
225,5.0,V. V.nice productNice packagingNice finishProduct delivered is same as product shown in pic,10 October 2017
226,5.0,"Very nice guitar! Elegant, smooth playing. Sound is amazing. Looks esthetic.",13 January 2020
227,5.0,I brought this Guitar for my younger son. Quality and performance is excellent build quality 5star sound quality 5star delivery on time 5star. Thanks Amazon,20 March 2021
228,4.0,"I liked it because it is making justice to it's price, overall quality is good I have it for around 2 years but it's still working well. It comes with extra strings and Cove.",14 August 2020
229,5.0,Bought at rs 2175 . Recieved the product within given time period.quality of the guitar is very nice . Recieved in a very good condition with nicely packed and timely delivered. Happy with the product .,19 June 2020
230,4.0,"Best for beginners, defenitely of decent quality although i felt the sound could have been s little more better but for the price paid the product is defenitely a value.",16 April 2021
231,4.0,Package is not fully packed properly. Tape is already removed when I recieved the order. Inside wrapper was also teared. Luckilly the product is not damaged.Product is good in this range(1690).Sound quality is also good.,11 October 2019
232,4.0,"If you never touched any guitar before, so this is the best you can get at this price. If you want to learn the guitar for the first time then go for it otherwise if you aren't a begginer then you should probably get some better guitar around 5k or more.",13 July 2019
233,5.0,"This guitar is priced exceptionally well for what it is. Its a boon for someone who's new to the guitar world and is pretty easy to play after you practice a lil bit.Overall, highly recommend.",27 July 2021
234,4.0,I have purchased this product from amazon. It was delivered to me in 10 days. The size is small and the sound quality of the product is fine. It sounds like a little distorted while playing. But overall its a good and nice product.,26 June 2017
235,3.0,"This guitar is small, for beginners it is perfect. You can learn on this and then upgrade your guitar. This doesn't have truss rod. Sound is average. The guitar detunes frequently so you have to tune it every other day. The wood which Is used to make this guitar is very light weight and of cheap quality but what can you expect at this price range. I would give it 6/10 overall. But for ₹2200, it is worth it!",10 August 2020
236,5.0,Best to start with it.Very light in weightString is good.Sound- I am really not satisfied with it. But I will visit my teacher and ask about if we can change it or do change in the string settings,6 April 2021
237,5.0,This guitar is just amazing..🤗🤗I received an absolutely fine guitar without any damages...after tuned it it's sounds amazing..Don't think much..just go for it😃😃😃😃,19 May 2021
238,2.0,"Hi, I got the product now, but the packaging was veryy disappointing, and moreover, the guitar bag that I received is such a bad quality, that just got holes and the chain of the brand new bag didn't even work. The tunes weren't set which I feel wouldn't be. Overall I am not happy with the packaging. The guitar looked beautiful though.",11 May 2021
239,1.0,This was the second time I recieved broken guitar. Paint looks cheap and very poor workmanship. Not worth it. Better go for a used one if on a limited budget.,28 November 2020
240,3.0,I ordered a black acoustic guitar but they send me a different colour. It's fine but still I specially ordered black because of it's colour.. Hence I was disappointed by this. I was waiting for few years to buy this & when I got it's not up to my wish.,1 November 2021
241,1.0,Action is high its gonna give you pain within minutes you need to invest more money if you realllly want to play guitar dont know why my stupidass went for a cheap guitar like this hehehhe well l have a short pocket so 🤷🏻‍♀️,28 October 2020
242,1.0,I am ordering with high hope that it will be quite good for beginners but I am wrong. The arm is not straight and very hard to tune. And after tuning the string went off-key frequently. I want to return but I have damaged all the package. It is very frustrating.,19 September 2020
243,5.0,"Good sound, great feel.Doesn't have a truss rod which adjust the neck. So have to keep it untune after playing. After an year or so the guitar was bent to front and was unable to play Barr chords. Good for 1 year or max 2 years",8 June 2021
244,3.0,I didn't like the packaging because of it guitar got a paint crack too and over all it's a decent guitar though the gap between the fretboard and string is a bit mire than usual so it's require a higher finger pressure to grab it properly,23 May 2021
245,5.0,Amazing. I am a beginner and it is very good deal for me to begin my classes with. Everything about  the product from pacakaging to the quality is awesome. You are getting a good deal at a low price.,21 December 2018
246,3.0,it has been a year i had bought it is in a very good condition as in looks but i never knew hat it is painted ......i thought is the wood in whole but it was not and the paint in the edges are getting out and main thing is the strings are not tuning,30 July 2020
247,2.0,"The sound quality is good. It's easy to learn with a small size guitar, but won't recommend to beginners.I received the guitar with no bubble wrap and it could have been easily damaged and the picks and extra strings were missing too. That's not good.Must check the product and all accessories while packing.",4 December 2020
248,5.0,This guitar is good for beginners and the quality of packaging was excellent. The delivery was well on time..overall the product quality i will rate as 5 as of a beginner..and worth the penny too,12 July 2020
249,1.0,V bad quality of guitar. The strings broke without even using it. The extra pait of string also broke. The quality is not at all gud i have just used this guitar twice and this is the result v disappointing.,4 June 2021
250,5.0,The assembling of the strings is not perfect. They are required to be pressed with thrice force in comparison to the normal guitar.,16 March 2021
251,3.0,"Appearance wise it would be very appealing. The sound quality is not up to the mark. The product quality is not at all good. A little jerk would actually put a dent on the guitar, not a scratch but directly a dent.Please don't buy it, don't waste money. Look for other options.",24 September 2020
252,5.0,Best in the price range for beginnersSound and build quality is very good,2 July 2019
253,5.0,I would suggest all the beginners as well as even regular performers to have this guitar!  The quality is of topmost class and it doesn't hurt much while using the metal strings and it's really easy to pick any tune/chord of any song as its compact as compared to other biG GUITARS! Highly Recommended for Beginners!🔥🔥🙌,27 July 2020
254,3.0,Best for beginners...But in description rs. 6990/-And ther giving offer for rs.1990/-What I felt is guiter is not rs.6990/-This is below current price.,17 August 2019
255,5.0,Best Guitar for beginners although the strings which come with it are brass Strings but I recommend changing it to Phosphor coated Bronze string.,9 March 2019
256,2.0,This guitar is seems to be in good look but it is small and it got scratch on the front part of it and the sound quality is poor  I don't think it is good for pros it's good for beginners  finally it sounds really really poor,7 November 2018
257,4.0,"Yes, I am very happy, product is good as per price, you have to tune guitar by tune guitar app. Otherwise got delivery on time. Packing is good. Good for beginners. Cover is nice. I can give rating 8.5/10 as per product.",26 July 2019
258,3.0,It's good for the price being offered but isn't quite what I though. The zip and the strap of the bag broke the very first day.Not very good for beginners as the there isn't the acoustic kind of reverb because of the wood being used.,9 June 2020
259,4.0,"It is good guitar for beginners, I have bought this year back and learned with ease only thing is that it is hard to press the notes initially but by time and experience you can definitely learn.One flaw Tuning pegs are bad.",2 July 2019
260,5.0,"The media could not be loaded.
                



 good for beginners.... i like it very much",30 December 2021
261,5.0,"If you are a beginner and looking for a guitar, then go for it.Nice design, Nice color, Nice packing. And most importantly, nice sound.The quality is nice. Perfect weight.I am happy with this.Nice product.",27 October 2020
262,3.0,Very good product on low budget for beginners .The only fault is that in the pic plectrum is shown but they give only guitar and bag,13 June 2021
263,3.0,"It's a good guitar for this price. But, one of my stirng got broken so early, that's why 3 stars, and also I had to press the strings little but harder which hurts a little more.Apart from that ,this guitar is all good.",25 September 2020
264,5.0,"I gifted to my cousin she is happy with itSound is very good, if you are a learner it is best for you",16 November 2018
265,4.0,This guitar is cheap that is the advantage but This product is not for beginners who want to really learn guitar for professional purpose..Rather I would say there are better guitar available,6 March 2020
266,3.0,"Not very beautiful.  Sound is a bit country &western style, not a full sound, just fair. Easy to play. For the discount price it is a fair product, but the full.price is not worth it.",23 August 2021
267,1.0,"The product is really useless, the strings are very loose there is no option to adjust the fret height (rod/screw is missing) to tune the strings, it is worth spending some extra bucks for more decent ones than waste your money this guitar",3 October 2020
268,3.0,"For biggners it is good .... Sound is also good .. lookwise it's nice as shown in picture .. but one thing that is very bad is it's frets , i didn't find them good .. it's frets are very stemp on ..",2 November 2018
269,1.0,"The media could not be loaded.
                



 Everything, damaged product,Not worthy",22 September 2021
270,5.0,"Hi This is the most awesome guitar for the begginersthe product really works well and also well designed.. Worthy product at this price.. If u r looking a guitar for practice blindly go ahead and order this guitarIts sound good. Built quality good. Its came up with a guitar cover, two nos of pic, guitar holding strap, and one set of six nos string",2 August 2020
271,4.0,Guitar is one size small if it had been 40+ inches then i think price would be best but yes for biggner it is okay NOT RECOMMEND FOR TALL ( ABOVE 6 FEET 2 INCHES) AND HEALTHY SIZE,1 January 2020
272,5.0,Excellent 👍👍👍 I even started playing this every where I go.I don't have much knowledge about guitar but after purchasing this I started giving coaching to 1000+ students Arjit Singh is one of them.Justin is also coming to India just for my Wonderful lessons thank you Amazon for making my life special 😍😍😍Guitar is just awesome 👍,6 September 2020
273,1.0,Horrible product .The strings are fragile .Not recommended for anyone.A complete waste of money .,28 December 2020
274,1.0,"I used it very few. One of its string detached and comes out terribly while I was setting the tuning keys. As a beginner, this guitar gave me very bad experience. Price is low but its not worthy.",23 January 2020
275,5.0,"Very good product.actully it's for my nephew ,and he likes it very much.its sound is to good",24 June 2019
276,1.0,"The package was perfect,but head of the guitar broken inside the box . The broken part were tied with the rest. It seems like you send me the already broken product. Pls make sure that the product is not damage before packing... I was very excited,but you disappointed me.",10 March 2019
277,4.0,Good product.market prize is 1450/- to 1700 in Mumbai.,22 February 2021
278,4.0,Great value for money as I wanted it for practice for my 11 yr old daughter at home.,25 February 2019
279,5.0,VERRY EXELENT GUITAR ON THIS PRICE RANGE SOUND IS GOOD BODY IS GOOD STRINGS ARE GOOD In short everything is awsome and you get a carry bag for guitar free with it !!!!!!!💰💰💰💰VALUE FOR MONEY 💰💰💰💰,10 August 2021
280,4.0,"Good one but only for beginners ofcourse.Just one suggestion, buy it in deals time if there is no rush, you will get very good discount.",3 October 2020
281,5.0,As a first time user I must say the product is everything a first time user can expect and the price is brilliant as well.. Well packaged and delivered on time the product had all the items as shown (includes an extra set of strings and guitar cover as well).. Very Happy with it..,9 January 2017
282,5.0,"I ordered it like a week ago , even though its lockdown I'm impressed by the speed delivery. No damages. Love the color black. It looks so polished and amazingly!! I would recommend. Go for it. Cant wait to study and play songs ! 💯",19 May 2020
283,4.0,Worth for the price......body is too good .....color is as shown the problem was with the strings.....they were not tuned....it took much time for me to tune it correctly....if it happen with anyone u can tune with guitar tuna app ......,12 June 2020
284,3.0,"The guitar is good, but I received the guitar bag with broken zip, and the size of the guitar bag is not suitable to this middle, the guitar is not going / fitting in the bag, kindly arrange for the other bag.If you provide the offers with giving free the bag with low quality, which is not made for this guitar size, why such offers you give with the guitars, ...please sort my query.",25 November 2019
285,4.0,"This is actually my fifth time to buy this Juarez acoustic guitar! And I am satisfied with all the products, the package was good and it was properly maintained! The sound of the guitar is also good. If you wanna buy for beginner , this is recommended!",30 July 2018
286,3.0,"Wires , pick and strap also mentioned eith this guitar but i didn't get it ...i only got giutar and cover thats it. Why it is mentioned in description",19 October 2019
287,4.0,It's a little small as compared to what you would expect regular acoustic guitars to be. But that's what makes it worthwhile and easy to learn.,10 September 2021
288,5.0,handy guiterlooks greatcomes with extra strings and pickstring quality is not goodbut best at this price,11 November 2017
289,3.0,I ordered acoustic guitar of juarez after my friend suggested it but I got a defect one...i don't know guitar my friend who is a expert came to help me in tuning the guitar... He looked at The tuning screw and it's broken .... I was super excited to look at the guitar I didn't look at the details. Ordered for a replacement let's see what will happen,13 September 2019
290,4.0,"I highly recommend this guitar to begginers if you can't afford too much money . Guitar's build quality was good , but didn't like the way they had painted the body of it.Strings ( which came along with the guitar ) was just good at work but didn't have much warmth and brightness in tone . Still a better deal under 2k .",11 August 2017
291,5.0,"The guitar is very good.and its quality is also very good.its the best guitar and its price is also so good.i am very happy with it,but the only thing i didnt liked is the guitars covers chain was broken only this is my dislike.but the guitar is very good you can buy it without any hesitation or any worry of quality or price.",4 August 2020
292,4.0,"I bought this for 1999/- to learn how to play guitar. The very first day when i start using/tuning this guitar, g string was broken and also there is a small dent on the guitar. A part from these two cons, I think this is a great deal at the price range.",30 November 2018
293,4.0,"Fast delivery, package safely delivered, guitar was intact and in good condition. Sound of the guitar was good.",23 April 2022
294,5.0,"I really loved this product and will recommend it to all beginners who are tight on their budget. If you want to spend less money on a guitar and still expects it to perform well, go for it.",7 October 2018
295,1.0,Totally dissatisfied with this product.....plz ....check the return submission....cancel return option automatically cancelled the pick up of item....do it as much as soon....,25 August 2021
296,3.0,I like its appearence but it shows many scretches and i find many scratches first time after opening the guiter pacage😐🤔I think it was used and the strings are not at all good😅😥😥😥😥😓😓😓😓😓😓😓😓,2 December 2020
297,5.0,"Best ever product!!!  Wowwwwwwi its amazing..... Sound,  fret,  finishing,  shape,  color,  performance,  and the qualityThere is no compromise in that in my guitar... Thanx Amazon ... This is 9th guitar bt i love this tooo muchU get the product un the picture all",18 October 2017
298,1.0,I sware i have  received a broken guitar when i opened and saw. My child was very eagar to open the gift when we saw damaged guitar it was dis satisfaction.Till today we didnt use the product.,12 April 2021
299,5.0,very good.i bought 4guarez guiter. all are good,9 July 2021
300,2.0,"The sound quality was not good, even after tuning the guitar. The sound of the guitar was much different then an actual guitar so i returned it.",30 September 2020
301,5.0,"Great product which change my life, good quality at reasonable price,  sound and strings are too good , it's perfect for beginner and even intermediate guitarist",9 October 2019
302,4.0,"This is the first time i purchase guitar and i find it quite good in this price range. The quality is 5/5. There is no damage on the body.They gave a set of string(as i am a beginner so i dont know the quality of string), two picks, a bag.",24 January 2021
303,1.0,Very cheap quality don't buy it..Don't waste your money on this guitar buy some other guitar and guitar was damaged too,13 April 2022
304,4.0,"Amazing service by amazon..product replaced in a day..Reg product, its food for beginners and need to handled with care due to missing steel rod support in handle and strings..overall a good buy for beginners...",5 October 2018
305,4.0,it came with big package and my brother loves it alot ❤️❤️❤️thank you amazon you are helping us to fulfill dreams in lockdown,11 August 2020
306,3.0,"Product is Avarage , Recevied only one pic, instead of two",29 January 2022
307,5.0,Very Good. Gifted to someone. They are happy.,2 April 2021
308,5.0,Bought as a gift for my friend. It's cheaper compared to other guitars available but but sound quality seems just as well for beginners. It was packaged well too.,10 August 2020
309,4.0,Loved the guitar. Good quality. Just the strings are a little bit  sharp. That's why I gave 4 stars,29 September 2018
310,1.0,"The media could not be loaded.
                



 I brought the guitar on 11th October 2021 and had broken by 26th October 2021. Waste of money.",26 October 2021
311,5.0,The product was really really great beyond my expectations... Am really happy... Nice packing... Good sound... Absolutely best for beginners...!!! Don't get confused... Jst buy this awesome guitar...!!! ❤️❤️🎸😍,27 February 2019
312,3.0,sound is not that but reasonable buy at this price,23 October 2017
313,2.0,"Quality is not good. Strings are not proper, when you play it will not sound properly.",15 June 2021
314,5.0,Fantastic & fabulous :)Good sound quality & great build quality.Best quality for beginners and professional career.,28 January 2022
315,1.0,Bought and then Return.Not as per my requirements.It's a beginner Guitar,11 June 2020
316,5.0,"A good buy for beginners, but had to return one piece due to bad finishing on the guitar body.",5 May 2021
317,1.0,"I bought this yesterday, no good sound, not good quality of string, not good quality of wood.. pleasee...guys, don't waste your money... Don't waste.. save money and buy YAMAHA only..",4 May 2022
318,2.0,Neck isn't strong enough. Nuts are worst. String arnt good quality and fret wire came out and fret board swallon,14 March 2021
319,1.0,Very disappointed with this product. I ordered this product in mid December and joined a guitar class. Within 4 days the strings were broken. Had to replace all the strings in few days. Pathetic quality. The guitar bag got torn in few days. Overall very unhappy with the product. Waste of Money.,2 February 2020
320,5.0,It's very good guitar. I don't think in 1990rs you would not get any guitar of this quality.,11 October 2017
321,1.0,I am not happy  with this product..it came into  three pieces.i have already asked for refund  on the very day of delivery.  But no feed back and no call nothing. I'm very pissed to see the package  disappointed,13 November 2018
322,2.0,"When you see first time, it's looking good bt when you play this, it's horrible. When i see and play this from YouTube, it's very different. You can't tuning right. 12 fred has not 2 marking also side. Add more 2K-3k and buy good guitar.",6 November 2020
323,5.0,"This a good guitar for beginners at this amazing price. The sound is pretty good and they are providing a free bag, strings and two picks. Very satisfied with this product.",7 December 2019
324,5.0,I'm a beginner and this is my first guitar. I find no problems with this product. I snapped my string twice but I think it may be my error.,23 August 2021
325,3.0,"Cost wise it is good, but the thing which is irritating is that I need to tune it everytime regularly.I feel strings and tuning pegs should improve.",3 May 2022
326,1.0,The product has a very fragile body with minimum structural durability. It took less than a month to become useless despite extensive care.,7 October 2021
327,1.0,Very bad product do not buy this and amazon too is not providing proper service once you order this product and you are trapped you will be forced to replace and get defected product everytime.Not recommended do not even think of buying this,7 September 2020
328,5.0,It is really great product it has all stuff that was shown in picture . Guitar is too light with smoth and shiny body. Great product in this much less price........ 👌🌹👍👍,19 June 2021
329,5.0,"The Product is worth buying !! It's up to the mark !! Go for it without any second thought !! I will recommend this mostly for BEGINNERS !!Nice packing, Good Quality !! I oove this Product !!",7 September 2020
330,3.0,"Guitar is nice, one of the string was broken when opened the box but additional string was given with the guitar. Apart from this sound, quality and performance wise it is worth you paying for the beginners.",4 October 2019
331,1.0,The guitar I bought came with the wrong strings attached. The D and E string were Missing. The 6 strings that came with the guitar were wrong.,14 June 2020
332,5.0,superb.loving it.just go for it if you are a beginner.dont waste money on costly brand from start try this out.works awesome.just get it,28 March 2018
333,3.0,I think the product is fantastic but the sound quality is not soo good as expected...all over the guitar is good...But the 1st day I bought it my strings just broken but let it be the guitar was good 😊☺️❤️,29 September 2020
334,4.0,"i don't know much about guitars, but i like this one very nic for this price",14 October 2018
335,4.0,The best one in the price. Wood quality is not that good but should not be complained for that price.,13 September 2021
336,2.0,Sound quality is awesome. Good quality product. Packing was very nice. Price is reasonable.,29 April 2021
337,4.0,"Seems good for this price, need to keep tuning it but otherwise sound is fine. It’s light weighed and small thus easy to hold. Packaging in which it came wasn’t too impressive, good that there wasn’t any breakage or defect.",31 July 2020
338,4.0,"Everything is good, not having truss rod but still it's a great deal. Best for beginners me included. Sound quality little bit noisy.",26 May 2021
339,5.0,I'm too much happy with this product. Overall experience shopping from amazon was very fantastic. the packaging of product is also good. Happy with this product.,28 September 2021
340,5.0,"Its one of the best quality guitar for beginners.Its build is not thay great , i mean when Carry it it feels really light but the quality of the wood i would say is not upto tje mark u just have to give more care to it.Bht anyway its the nice one to purchase under 2300 .Go for it without any second thought.",8 July 2020
341,3.0,"You get what you pay for, if you are a beginner ""don't buy"". Get something better probably a F310 by Yamaha. I bought this to have something to play while i am at my parents house. Not my primary guitar.",25 October 2020
342,5.0,https://amzn.to/3de0aPFBought it dor 1790rs under offer.1.Looks same as mentioned in the picture2.Best for a beginner3.Quality is good.,10 October 2020
343,3.0,"It's such a cheap quality product the wood, the Colour & everything. Size is also smaller.",19 February 2022
344,3.0,"For beginners its most recommended product,  sound quality you have to compromise because of price not muchbad its good. Comfortably is ok not an issue, quality of strings are not much bad ok. But bcareful while tuning.",17 December 2019
345,4.0,"Just received this guitar (27 Nov 2018). The finish is flawless, nothing is broken, nor there are any holes in it.But the first thing I noticed was the rust on one of strings.Please see image, the dark parts on string is rust.Please help.Should I get it replaced or is it common?",27 November 2018
346,5.0,"This guitar is great for beginners. I started playing with this guitar and it hasn't disappointed me at all. And it's been 5 years since I bought it( I didn't play it too for 2 years), still shines like a new one. Very sturdy.",19 January 2022
347,4.0,"Nice Guitar 🎸 For Beginners, Children,poor people .You can became a good musician by this Guitar 🎸Guitar definitely good this price range & sounds quality is really really very good.Thanks 😇😊",21 June 2021
348,1.0,The strings are so high up from the fretboard that it is impossible to play any chords. You need micro fingers of steel to play this guitar. Brought this seeing all the positive reviews saying its good for beginners. But I guess all of it was a joke.,8 March 2020
349,4.0,"Guitar is good but not send pick & bag, extra strings so please send me as early as possible otherwise I will return this product till 25 Jan 2020",14 January 2020
350,3.0,The last string (the thin one) has broke immediately on the day one I don’t know what went wrong but we could replace the same with spare strings providedBut bit worried if this breaks what to do,3 November 2019
351,4.0,The guitar is lightweight and great to hold onto but the sound seems a little bit off but at this price it's the best you can get. For beginners!,27 January 2020
352,4.0,I am newbie in guitar. I like how it looks and sounds. Smooth surface has good feel.,1 November 2017
353,3.0,Good for beginners. Not so high quality guitar.  Though string provided for high pitch breaks easily if tried to tune perfectly. So good for new learner's.,7 June 2018
354,3.0,This guitar is  good for beginners though the product has some or the other default.My guitar was broken and it's paint was out but I am satisfied with it.Recommended for those who want good in less amount.,31 July 2020
355,5.0,Perfect Instrument for Beginners,25 September 2020
356,5.0,"It's good stuff for beginners, value for money,What I liked was the packing,",12 November 2020
357,1.0,Ordered thrice this product...but once again got a defected one and seems like used product with scratches and all....u have to really improve ur product quality and service.....no safe packaging by ur side has been there,23 February 2019
358,5.0,It's A Decent Product With A Good Quality....One Thing Is That It's Body Colour I Mean That White Stripe On The Border Fades Away... Everything Else Is Nice🔥🔥,18 July 2021
359,4.0,It's cool guitar for the beginners. Not that great in quality but simply can be best in it's price range.,31 January 2017
360,1.0,I bought this product but I'm not satisfy bcoz of product was damaged and I was trying to tuning but not tunned,16 February 2019
361,5.0,"quality is good for such price, good sound, and happy with it",12 May 2018
362,5.0,This is best for beginners...But I'm fully disappointed with packing...Looks and sound Quality is superb!!!,29 August 2019
363,1.0,"Product is fine but its broken ... Also it was without the strap and pick ... Not satisfied ... One of my bad experience .... It is really really disappointing that my package is not even replaced ... Very bad , worst",30 September 2020
364,5.0,Awesome guitar for beginners.❤️,4 May 2021
365,4.0,The spring action is high that make people difficult to press the strings and for a beginner this isn't a good start . Beginners shall invest a better one you shall go atleast for guitars minimum of rs. 5000 or more. Coming to the sound of it not  the best!!,13 June 2021
366,5.0,Yes it was amazing experience......Delivery was on time and product is also very good as i was expecting .....I always love to buy from Amazon only.,17 September 2017
367,5.0,"This is the first guitar of my life I ever experienced it, I really appreciated the quality and finishing of the guitar, it sounds too good. Thank you for ur service Amazon and seller",6 January 2019
368,5.0,"Worth money spending , this is the best option for the beginners, packaging was very nice ,one Guitar, one bag, 2 picks and set of one strings I received in the box thank you Amazon !",12 November 2020
369,2.0,"Guitar packing not good , and its bag chain broken ,also some sractes and small breakes in body of guitar,not satisfied with ur product ...🙄😒 Only sound is ok for me",23 August 2021
370,2.0,"Guitar ka neck sahi nhi h, There is some blurred sound came when i play F sharp minor and Bm...Think before buying Special/Lightening deals from amazon!Buy at ur own risk... 👍",20 June 2017
371,1.0,I am writing this review after a month's expierience  if you have more budget please buy some other one. My string broken for the 2nd time and its too much!! In a month which i uses rarely!!!!,14 October 2020
372,5.0,I liked the guitar as i was a beginner and it completely suits me its size was perfect for me and the sound was also so clean the body doesn't have any scratch on it and came with good packing,3 March 2020
373,5.0,"It's very good for beginners, I received it in good packing , you might have to calibrate it , the build quality is nice. Satisfied with the product worth for money",16 July 2021
374,4.0,You should tune the guitar before use . It doesn't come with tuned guitar strings and you can I do in only (DIY) home using 3rd party apps to tune,23 November 2020
375,5.0,Liked the sound quality if the guitar very much.Design is not that finished.Liked the color (black).Best suitable guitar for the beginners.Worth it.,1 September 2019
376,4.0,good for beginners..good for photoshoot,25 July 2017
377,5.0,Best product in this price. Really happy and satisfied.,8 October 2017
378,3.0,This a decent quality guitar . But the dots on it are wrong.The distance between the fret board and string is 4.5 which a very good thing . Good for begginers.The bag given to me smaller than size of guitar . The picks are also of decent quality.,26 May 2021
379,5.0,It's very easy to learn specially for the beginners.And the best part is the sound quality.i would highly suggest you to just give this product a try .Thank you !,11 August 2021
380,4.0,"Pretty decent for what you pay. It's not like a you can expect a Fender quality or even Yamaha. But for what you pay, you get good value for money.",2 November 2016
381,5.0,"Awsome product with affordable price, surely will recommend for beginners and passion seekers.",23 January 2020
382,3.0,The gears behind the tuning pegs are made of plastic which is a major drawback. And also one of it broke the second day while tuning the guitar also it won't allow the guitar to stay tuned for a longer period of time.,27 August 2020
383,4.0,What to say... Really good product for beginners,23 December 2016
384,5.0,Dislike: it is not having truss rod and within only 3-4 months the tension becomes high and the neck bends.Like: Best sound quality Perfect for beginners👍👍👍👍🙌🙌,7 September 2020
385,1.0,1st weve got a broken piece and now we exchange with the same piece but not satisfied with piece too especially the zip of the bag is too delicate and string are very delicate,1 December 2020
386,1.0,"Waste of money , not getting tuned.",2 June 2021
387,4.0,i strongly recommended for bigginers and also used for experienced people.....very better,26 December 2019
388,5.0,I have received with safety and good condition very nice for beginners...Amazing for the price I bought it. Loved it. Best guitar in budget...Excellent value for money... Such A Grate Products Thanks To Amazon..,16 October 2017
389,5.0,Buy and practice well. As per time you too will not be a beginner and you will notice many small differences which matters but till then use it.,18 July 2021
390,1.0,Don't buy this worst product ever seen with damages ...even the second time replacement...so I got my refund from amazon,18 May 2021
391,4.0,A decent product for beginners,22 August 2019
392,3.0,This is for amateur guitar enthusiasts. You can determine whether you want to invest more in a guitar if you actually like playing a guitar.,5 September 2020
393,4.0,"The item is extremely good for beginners. Comparing to the price of the item , this is a perfect deal. If you have just started playing a guitar go ahead with the item.",16 June 2020
394,5.0,Great product at this price.  Thanks to Amazon for giving this great deal.,4 October 2017
395,2.0,"Everything is average abiut this guitar, if you are buying it for fun that its okay hut if you are learning a guitar thenI would not recommend this.",8 April 2022
396,1.0,"Waste money ,after purchase it had placed as show piece",29 May 2021
397,5.0,Awesome guitarI love itIt is a very good one in very cheap price ypu can buy this guitar without any second thoughtEasy to handlePerfect for beginners,3 June 2021
398,1.0,The product's  string adjusters do not rotate its of waste quality,2 June 2020
399,3.0,Nice product. But sound quality is not that great. Go for it if all you just want is fun. Not good for those who take the hobby seriously.,30 June 2019
400,3.0,Sound is not so much good as other guitars..a person who knows nothing about guitar then it is good for them in low price.,20 September 2020
401,3.0,"This is for beginners only, built quality is poor, strings breaks even you are not using it !... Overall plays roll in your showcase only....",2 November 2020
402,1.0,"No accessory received, just plain guitar with bad quality.",18 January 2018
403,3.0,"Overall guitar seems good but the only problem is that the distance between freck and strings are very much due to which high action is needed which cause pains in finger after some time.If you can afford 1-2K more,then purchase a good one instead of it.",5 August 2020
404,3.0,Strings are not accurate and some of are very loose. For beginner it is hard to adjust the strings at some good sound level,25 August 2021
405,5.0,Good professional looking guitar which works... I am fully satisfied and I am not at the music level to tell why you should purchase an expensive guitar.,20 May 2017
406,2.0,"I have always trusted Amazon but this is the first time I was disheartened because I just received the guitar and nothing else. There was no bag, no pick and no extra string.",28 August 2020
407,5.0,Best product for the beginners and all . No fault in the product .ut was handed to me in an outstanding packaging. I think it gives us the best value of money .but must buy a guitar tuner with it .the picks were good .,25 November 2018
408,3.0,"Honestly saying the sound really sucks but if you need something to start with , for initial practice to learn guitar it is good...So if u are a begginer yay u can go for it.",22 October 2017
409,1.0,"The first time I placed an order for it, one of the knobs didn't work. Tried to return it it show an option for it. Ordered a replacement, two of the knobs don't work. Can't even return it anymore and here I am stuck with a piece of junk.",15 August 2019
410,5.0,As shown in the picture.. well packed. Not a pro to decide the sound . Will review after getting feedback from the user.,20 October 2019
411,1.0,"Worst packing and received a damaged product, courier guys should be extra cautious on delicate items n not to keep heavy weight or throw the products.",18 November 2018
412,5.0,I don't know how to play guitar😁....but I love guitar 🎸I just play how ever I know 🎵🎶🎵🎼...it makes  me happy🙋‍♀️...music is my best friend 🤝🏻,18 June 2019
413,5.0,"I love the way i came packed and it is a good guitar for budget segment and best ever guitar for beginners if you are looking for a best,budget and a good guitar then consider this one ...",4 July 2020
414,2.0,This product is very good. Its delivery was done on time. Its packing is very well done. its price is not high.,12 July 2021
415,1.0,It literally arrived broken.,21 July 2021
